iter	Passed	Remaining
401	11531	17154
402	11558	17122
403	11584	17090
404	11610	17057
405	11637	17025
406	11662	16992
407	11688	16959
408	11713	16926
409	11742	16897
410	11770	16867
411	11798	16838
412	11825	16807
413	11854	16780
414	11879	16745
415	11905	16713
416	11932	16682
417	11959	16651
418	11987	16622
419	12013	16589
420	12039	16558
421	12050	16504
422	12076	16473
423	12103	16442
424	12129	16410
425	12155	16378
426	12183	16348
427	12216	16326
428	12246	16299
429	12282	16281
430	12316	16259
431	12344	16230
432	12375	16205
433	12409	16183
434	12438	16155
435	12468	16128
436	12498	16101
437	12525	16071
438	12554	16042
439	12583	16015
440	12613	15988
441	12639	15957
442	12667	15927
443	12694	15896
444	12722	15867
445	12753	15841
446	12788	15821
447	12831	15809
448	12841	15758
449	12882	15744
450	12923	15731
451	12964	15717
452	13000	15697
453	13036	15678
454	13073	15659
455	13106	15635
456	13190	15672
457	13235	15662
458	13276	15647
459	13308	15622
460	13338	15595
461	13369	15569
462	13399	15541
463	13428	15511
464	13457	15483
465	13485	15453
466	13494	15401
467	13524	15374
468	13552	15343
469	13580	15314
470	13607	15283
471	13635	15253
472	13664	15224
473	13692	15194
474	13721	15165
475	13749	15135
476	13781	15110
477	13810	15081
478	13819	15030
479	13847	15001
480	13874	14970
481	13901	14939
482	13929	14909
483	13957	14879
484	13985	14850
485	14012	14819
486	14045	14795
487	14080	14772
488	14112	14747
489	14145	14723
490	14178	14698
491	14210	14673
492	14242	14646
493	14272	14619
494	14301	14590
495	14329	14560
496	14355	14529
497	14382	14497
498	14408	14466
499	14435	14435
500	14462	14404
501	14487	14372
502	14514	14341
503	14541	14310
504	14567	14278
505	14593	14247
506	14618	14215
507	14646	14185
508	14671	14152
509	14701	14124
510	14732	14098
511	14763	14071
512	14790	14041
513	14820	14012
514	14846	13981
515	14873	13950
516	14900	13920
517	14926	13889
518	14958	13863
519	14986	13834
520	15019	13808
521	15049	13781
522	15078	13752
523	15104	13720
524	15135	13693
525	15162	13663
526	15192	13635
527	15218	13604
528	15246	13575
529	15276	13547
530	15305	13518
531	15332	13488
532	15361	13459
533	15389	13430
534	15415	13398
535	15442	13367
536	15471	13339
537	15498	13308
538	15525	13278
539	15551	13247
540	15580	13218
541	15607	13189
542	15633	13157
543	15661	13128
544	15689	13098
545	15719	13070
546	15751	13044
547	15780	13015
548	15815	12992
549	15844	12963
550	15871	12933
551	15896	12901
552	15920	12868
553	15992	12874
554	16020	12844
555	16046	12814
556	16072	12783
557	16099	12752
558	16124	12721
559	16150	12690
560	16175	12658
561	16202	12627
562	16229	12597
563	16253	12565
564	16279	12533
565	16304	12502
566	16331	12471
567	16356	12439
568	16381	12408
569	16406	12376
570	16432	12345
571	16456	12313
572	16481	12282
573	16505	12249
574	16530	12218
575	16554	12186
576	16579	12154
577	16603	12122
578	16628	12090
579	16652	12058
580	16679	12028
581	16702	11995
582	16727	11964
583	16752	11933
584	16778	11902
585	16803	11871
586	16828	11840
587	16853	11808
588	16877	11777
589	16901	11745
590	16927	11714
591	16951	11683
592	16976	11651
593	17001	11620
594	17025	11588
595	17051	11558
596	17076	11527
597	17099	11495
598	17124	11464
599	17149	11432
600	17174	11401
601	17197	11369
602	17223	11339
603	17250	11309
604	17275	11279
605	17299	11247
606	17324	11216
607	17348	11185
608	17373	11154
609	17397	11122
610	17423	11093
611	17454	11066
612	17480	11035
613	17507	11006
614	17532	10975
615	17559	10945
616	17584	10915
617	17609	10884
618	17634	10854
619	17659	10823
620	17684	10793
621	17709	10762
622	17737	10733
623	17763	10703
624	17792	10675
625	17820	10646
626	17848	10617
627	17856	10577
628	17887	10550
629	17916	10522
630	17948	10496
631	17978	10468
632	17990	10430
633	18018	10401
634	18043	10371
635	18070	10342
636	18095	10312
637	18123	10283
638	18149	10253
639	18177	10224
640	18203	10195
641	18231	10166
642	18256	10136
643	18286	10108
644	18312	10079
645	18339	10049
646	18365	10020
647	18390	9989
648	18418	9961
649	18449	9934
650	18480	9907
651	18551	9901
652	18587	9877
653	18614	9847
654	18645	9821
655	18683	9797
656	18717	9771
657	18748	9744
658	18776	9716
659	18802	9686
660	18830	9657
661	18857	9627
662	18883	9598
663	18910	9568
664	18936	9539
665	18964	9510
666	18990	9480
667	19015	9450
668	19040	9420
669	19067	9391
670	19092	9361
671	19117	9331
672	19143	9301
673	19170	9272
674	19196	9242
675	19223	9213
676	19247	9183
677	19273	9153
678	19297	9123
679	19322	9093
680	19346	9062
681	19372	9032
682	19396	9002
683	19421	8972
684	19445	8941
685	19470	8912
686	19495	8882
687	19521	8852
688	19545	8822
689	19571	8793
690	19598	8764
691	19624	8734
692	19649	8704
693	19673	8674
694	19699	8644
695	19723	8614
696	19748	8584
697	19772	8555
698	19797	8524
699	19822	8495
700	19847	8465
701	19871	8435
702	19896	8405
703	19923	8376
704	19949	8347
705	19972	8317
706	19997	8287
707	20021	8257
708	20046	8228
709	20072	8198
710	20098	8169
711	20126	8141
712	20154	8112
713	20181	8083
714	20206	8054
715	20232	8025
716	20256	7995
717	20281	7965
718	20306	7936
719	20332	7907
720	20357	7877
721	20380	7847
722	20405	7817
723	20417	7783
724	20442	7753
725	20466	7724
726	20490	7694
727	20514	7664
728	20538	7635
729	20561	7605
730	20585	7575
731	20612	7546
732	20636	7516
733	20661	7487
734	20685	7458
735	20711	7428
736	20737	7400
737	20764	7371
738	20792	7343
739	20816	7314
740	20844	7285
741	20869	7256
742	20895	7227
743	20920	7198
744	20946	7169
745	20975	7141
746	20991	7109
747	21015	7080
748	21041	7051
749	21071	7023
750	21100	6995
751	21129	6968
752	21159	6940
753	21189	6913
754	21214	6884
755	21241	6855
756	21267	6826
757	21295	6798
758	21322	6770
759	21348	6741
760	21376	6713
761	21403	6685
762	21428	6655
763	21454	6627
764	21478	6598
765	21504	6569
766	21528	6539
767	21552	6510
768	21577	6481
769	21640	6463
770	21671	6436
771	21704	6410
772	21733	6382
773	21757	6353
774	21783	6324
775	21808	6295
776	21834	6266
777	21859	6237
778	21883	6208
779	21889	6174
780	21915	6145
781	21940	6116
782	21966	6087
783	21991	6058
784	22016	6030
785	22042	6001
786	22066	5972
787	22090	5943
788	22114	5914
789	22144	5886
790	22168	5857
791	22193	5828
792	22217	5799
793	22242	5770
794	22267	5742
795	22292	5713
796	22316	5684
797	22342	5655
798	22367	5626
799	22394	5598
800	22417	5569
801	22442	5540
802	22467	5511
803	22491	5483
804	22515	5454
805	22540	5425
806	22565	5396
807	22590	5368
808	22615	5339
809	22628	5307
810	22654	5279
811	22683	5251
812	22711	5223
813	22739	5196
814	22764	5167
815	22793	5139
816	22818	5111
817	22841	5082
818	22865	5053
