iter	RMSE
558	2.359896562
559	2.359815056
560	2.359739666
561	2.359697918
562	2.359640294
563	2.359557238
564	2.359487441
565	2.359437342
566	2.359368798
567	2.359329058
568	2.359287082
569	2.359269975
570	2.359204951
571	2.359133894
572	2.359114015
573	2.359032972
574	2.358984939
575	2.358929409
576	2.358865283
577	2.358789252
578	2.358721254
579	2.358672267
580	2.358601544
581	2.358541539
582	2.358420338
583	2.358379358
584	2.358351884
585	2.35828184
586	2.358256852
587	2.358235134
588	2.358187166
589	2.358147952
590	2.358093222
591	2.358001124
592	2.357966654
593	2.357948023
594	2.357852767
595	2.35779465
596	2.357720203
597	2.357678247
598	2.357594876
599	2.357566468
600	2.357541676
601	2.357501396
602	2.357439036
603	2.357349981
604	2.357279415
605	2.357188468
606	2.357118647
607	2.357070459
608	2.35702525
609	2.356975575
610	2.356936313
611	2.356874043
612	2.356813397
613	2.356803281
614	2.356731599
615	2.356704416
616	2.356689518
617	2.356612609
618	2.35653372
619	2.356493765
620	2.356414991
621	2.356322388
622	2.356273964
623	2.356217133
624	2.356102832
625	2.35603646
626	2.355985044
627	2.355983738
628	2.355928214
629	2.355871869
630	2.35582911
631	2.355737411
632	2.355705216
633	2.355686337
634	2.355612125
635	2.35553691
636	2.35548334
637	2.355398826
638	2.355359253
639	2.355274274
640	2.355252499
641	2.355169599
642	2.355091564
643	2.355018665
644	2.354964931
645	2.35490986
646	2.354872462
647	2.354837671
648	2.354788819
649	2.354694539
650	2.354632474
651	2.354549158
652	2.354465156
653	2.354420739
654	2.354370948
655	2.354307113
656	2.354270261
657	2.354238075
658	2.354208425
659	2.354159001
660	2.354091491
661	2.35401535
662	2.353943366
663	2.353850971
664	2.353784181
665	2.353707877
666	2.353654707
667	2.35355489
668	2.353522755
669	2.35350191
670	2.353433561
671	2.35336552
672	2.353289118
673	2.353187629
674	2.353140056
675	2.353106615
676	2.353085411
677	2.353035745
678	2.353014726
679	2.352974534
680	2.352926329
681	2.352877574
682	2.352814033
683	2.352754162
684	2.352678479
685	2.352601669
686	2.352550495
687	2.352465107
688	2.352412104
689	2.352370457
690	2.352268451
691	2.352224149
692	2.352164671
693	2.352114323
694	2.352089735
695	2.352020662
696	2.35198802
697	2.351943095
698	2.351890828
699	2.351835666
700	2.351795908
701	2.351734635
702	2.351718924
703	2.351696399
704	2.35161599
705	2.351576158
706	2.351502943
707	2.351437974
708	2.351362231
709	2.351330173
710	2.351258492
711	2.351219228
712	2.351179458
713	2.35112681
714	2.351045778
715	2.350959069
716	2.35086764
717	2.350805641
718	2.350757999
719	2.350710688
720	2.350635104
721	2.350602909
722	2.350549687
723	2.350534838
724	2.35050105
725	2.350449211
726	2.350426865
727	2.35037935
728	2.350310855
729	2.35028532
730	2.350256235
731	2.350217284
732	2.350166121
733	2.350141266
734	2.350095333
735	2.350021204
736	2.349996399
737	2.349914702
738	2.349867359
739	2.349828373
740	2.349781501
741	2.349744164
742	2.349673959
743	2.349629936
744	2.349578073
745	2.349546321
746	2.349529942
747	2.34945365
748	2.349412546
749	2.349360156
750	2.349333613
751	2.349301096
752	2.349273197
753	2.349211329
754	2.34914463
755	2.34910508
756	2.349024063
757	2.348995995
758	2.348914324
759	2.348888034
760	2.348869631
761	2.348839386
762	2.348783733
763	2.348732532
764	2.348687265
765	2.348598551
766	2.348549058
767	2.348515932
768	2.348496758
769	2.3484565
770	2.348435868
771	2.348397293
772	2.348372383
773	2.348334346
774	2.348277818
775	2.34823652
776	2.348168864
777	2.348092673
778	2.348028121
779	2.348010003
780	2.347934799
781	2.347850759
782	2.347785459
783	2.347721973
784	2.347656735
785	2.347604029
786	2.347554485
787	2.347517206
788	2.347456347
789	2.347396581
790	2.3473185
791	2.34726776
792	2.347194184
793	2.34714701
794	2.347102393
795	2.347045677
796	2.346992807
797	2.346904464
798	2.346823838
799	2.346773688
800	2.346698865
801	2.346636149
802	2.346541318
803	2.346486263
804	2.346442392
805	2.346366122
806	2.346318578
807	2.346242507
808	2.346211124
809	2.346182564
810	2.346140992
811	2.346083659
812	2.346041109
813	2.346008921
814	2.345935764
815	2.345881958
816	2.345804489
817	2.345729405
818	2.345659851
819	2.345604559
820	2.345534717
821	2.345502098
822	2.345463029
823	2.345396228
824	2.345350186
825	2.345312661
826	2.345260945
827	2.345199022
828	2.345116339
829	2.345064287
830	2.345050565
831	2.344980375
832	2.344916705
833	2.344858272
834	2.344780782
835	2.344762119
836	2.344704553
837	2.344633048
838	2.344576227
839	2.344497546
840	2.34446851
841	2.344439978
842	2.344398532
843	2.344328161
844	2.344288816
845	2.344246001
846	2.344201679
847	2.344183091
848	2.344113432
849	2.344023567
850	2.343965427
851	2.343887774
852	2.343811095
853	2.34377418
854	2.343752535
855	2.34370542
856	2.343654291
857	2.343617352
858	2.343578879
859	2.34352242
860	2.34348342
861	2.343435147
862	2.343352917
863	2.343286281
864	2.343257749
865	2.343194899
866	2.343113972
867	2.343060956
868	2.343012956
869	2.342954923
870	2.342901052
871	2.342838308
872	2.342799874
873	2.342710324
874	2.342663592
875	2.342592309
876	2.342581757
877	2.342509482
878	2.342463218
879	2.342425474
880	2.342356193
881	2.342327271
882	2.34224579
883	2.342227206
884	2.342174275
885	2.342150173
886	2.342097341
887	2.342066255
888	2.342007972
889	2.341973427
890	2.341892421
891	2.341848825
892	2.3418011
893	2.341768035
894	2.341718161
895	2.341672941
896	2.34160964
897	2.341558846
898	2.341531021
899	2.341463851
900	2.341395773
901	2.341344238
902	2.34126903
903	2.34121725
904	2.341201664
905	2.341159545
906	2.341088475
907	2.341038833
908	2.341005979
909	2.340952685
910	2.340908924
911	2.340879381
912	2.340837908
913	2.340812887
914	2.340752234
915	2.340693193
916	2.340664187
917	2.340594728
918	2.34052749
919	2.340480904
920	2.340440341
921	2.340384174
922	2.34032681
923	2.340265942
924	2.340208882
925	2.340127933
926	2.340080497
927	2.34002641
928	2.339968751
929	2.339900526
930	2.33984548
931	2.339773913
932	2.33972376
933	2.339705275
934	2.33966688
935	2.33959758
936	2.339540391
937	2.339518667
938	2.339460206
939	2.339388256
940	2.339343416
941	2.339235459
942	2.339198117
943	2.339141794
944	2.339118822
945	2.339083962
946	2.339055758
947	2.338980753
948	2.338921289
949	2.338902645
950	2.338860111
951	2.338841717
952	2.338793324
953	2.338706435
954	2.338675179
955	2.338632864
956	2.338579222
957	2.338523625
958	2.338447398
959	2.338409183
960	2.338363669
961	2.338325578
962	2.338298812
963	2.338239884
964	2.338153972
965	2.338089672
966	2.338020768
967	2.337945776
968	2.337892093
969	2.337864044
970	2.337818205
971	2.337786785
972	2.337738316
973	2.337688417
974	2.337638515
975	2.337559846
976	2.337485433
977	2.337441388
978	2.337435466
979	2.337381791
980	2.337321332
981	2.337277689
982	2.337256521
983	2.337214151
984	2.337181211
985	2.337137307
986	2.337083973
987	2.33700948
988	2.336923456
989	2.336888832
990	2.336855318
991	2.336763325
992	2.336726079
993	2.336643174
994	2.33656049
995	2.336547399
996	2.336533705
997	2.336525548
998	2.336444168
999	2.336401117
